resourcecollection,Graphs Foundation - New,Graphs and its Variants,US/Pacific,2023-01-19,20:05:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Graphs Class,Graphs and its Variants,US/Pacific,2023-01-22,8:45:00,2023-01-22,14:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Graphs with Omkar Deshpande;Alternative Class - Graphs Slides by Omkar Deshpande;Alternative Class - Graphs Slides by Abhishek Gunasekar;Alternative Class - Graphs Slides by Reza Saddodin;Alternative Class - Graphs with Abhishek Gunasekar;Alternative Class - Graphs with Reza Saddodin,,US/Pacific,CGGR04
feedbacktemplate,Class Feedback (Mandatory),Graphs and its Variants,US/Pacific,2023-01-22,14:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Graphs Practice - Problem Set 1 - New,Graphs and its Variants,US/Pacific,2023-01-22,14:20:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Graphs Class Problems,Graphs and its Variants,US/Pacific,2023-01-22,14:25:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Graphs Material,Graphs and its Variants,US/Pacific,2023-01-22,14:30:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
test,Graphs Timed Test,Graphs and its Variants,US/Pacific,2023-01-26,18:00:00,2023-01-26,19:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Graphs Test Review Class,Graphs and its Variants,US/Pacific,2023-01-26,19:00:00,2023-01-26,20:00:00,Remote Only,Attend Test Class,enabled,Test Review Class Feedback,<p><br></p>,On Scheduled Date,,,Alternative Class - Graphs Test Review with Ganesh;Alternative Class - Graphs Test Review with Pavan;Alternative Class - Graphs Test Review with Sushanth,,US/Pacific,CGGRT4
feedbacktemplate,Test Review Class Feedback,Graphs and its Variants,US/Pacific,2023-01-26,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Dynamic Programming Foundation - New,Dynamic Programming,US/Pacific,2023-01-26,20:05:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,Coding Program Feedback Form,Coding Program Feedback,US/Pacific,2023-01-29,8:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Dynamic Programming Class,Dynamic Programming,US/Pacific,2023-01-29,8:45:00,2023-01-29,14:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Dynamic Programming with Omkar Deshpande;Alternative Class - Dynamic Programming Slides by Omkar Deshpande;Alternative Class - Dynamic Programming Slides by David Hulak;Alternative Class - Dynamic Programming Slides by Vivek Nagarajan;Alternative Class - Dynamic Programming with David Hulak;Alternative Class - Dynamic Programming with Vivek Nagarajan,,US/Pacific,CGDP05
feedbacktemplate,Class Feedback (Mandatory),Dynamic Programming,US/Pacific,2023-01-29,14:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Dynamic Programming Class Problems,Dynamic Programming,US/Pacific,2023-01-29,14:20:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Dynamic Programming Practice - Problem Set 1 - New,Dynamic Programming,US/Pacific,2023-01-29,14:25:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Dynamic Programming Material,Dynamic Programming,US/Pacific,2023-01-29,14:30:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
test,Dynamic Programming Timed Test,Dynamic Programming,US/Pacific,2023-02-02,18:00:00,2023-02-02,19:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Dynamic Programming Test Review Class,Dynamic Programming,US/Pacific,2023-02-02,19:00:00,2023-02-02,20:00:00,Remote Only,Attend Test Class,enabled,Test Review Class Feedback,<p><br></p>,On Scheduled Date,,,Alternative Class - Dynamic Programming Test Review with Joey;Alternative Class - Dynamic Programming Test Review with Tilo;Alternative Class - Dynamic Programming Test Review with Ganesh,,US/Pacific,CGDPT5
feedbacktemplate,Test Review Class Feedback,Dynamic Programming,US/Pacific,2023-02-02,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,"OPTIONAL Linked Lists, Stacks, and Queues Material","Linked Lists, Stacks and Queues",US/Pacific,2023-02-03,0:00:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Binary Search Variants Material,Binary Search Variants,US/Pacific,2023-02-03,0:01:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Ad-hoc Material,Ad-Hoc,US/Pacific,2023-02-03,0:02:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Arrays Material,Arrays,US/Pacific,2023-02-03,0:03:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Monotonic Stacks Material,Monotonic Stacks,US/Pacific,2023-02-03,0:04:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Strings Material,Strings,US/Pacific,2023-02-03,0:05:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Offer Negotiation & Transitions Foundation,Offer Negotiation and Strategy,US/Pacific,2023-02-06,0:00:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Offer Negotiation and Strategy Class,Offer Negotiation and Strategy,US/Pacific,2023-02-08,17:00:00,2023-02-08,20:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Offer Negotiation with Randy;Alternative Class - Offer Negotiation with Dan;Alternative Class - Offer Negotiation with Nick;Alternative Class - Offer Negotiation with Sharon,Scheduled,US/Pacific,CCON01
feedbacktemplate,Class Feedback (Mandatory),Offer Negotiation and Strategy,US/Pacific,2023-02-08,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Offer Negotiation & Transitions Post-Class Assignment,Offer Negotiation and Strategy,US/Pacific,2023-02-08,20:05:00,,,Remote Only,Complete Assignment,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Sorting Algorithms Practice - Problem Set 2 - New,Sorting Algorithms,US/Pacific,2023-02-10,0:00:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Recursion Practice - Problem Set 2 - New,Recursion & Backtracking,US/Pacific,2023-02-10,0:01:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Trees Practice - Problem Set 2 - New,Trees and its Variants,US/Pacific,2023-02-10,0:02:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
